fips,StateName,StatePolicy,Mandate,StateWide,PublicMaskLevel,DateEnacted,DateExpiry,DateEased,DateEnded,DateReexpanded1,DateReeased1,PolicyCodingNotes,PolicySource,LastUpdated,LastUpdatedNotes
1,Alabama,PublicMask,0,1,0,20200430,20200731,,,,,Recommendation from the Gov in the Safer At Home order. ,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,20200701,Updated DateExpiry to 20200731
1,Alabama,StayAtHome,0,1,,20200430,20201108,,,,,"Continues recommendation for all individuals, especially vulnerable persons, to minimize travel outside the home. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,20201002,Updated DateExpiry to 20201108 and PolicyCodingNotes
1,Alabama,GathRestrict,1,1,,20200511,20201108,,,,,Eases restrictions prohibiting specific gathering sizes (requires physical distancing of 6 ft). Extended to 20200831: https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,20201002,Updated DateExpiry to 20201108 and PolicyCodingNotes
2,Alaska,EmergDec,1,1,,20200311,,,,,,Public Health Emergency,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Disaster-Packet.pdf,20200324,
2,Alaska,SchoolClose,1,1,,20200316,,,20200727,,,"First issuance is schools staying closed until March 30 (i.e., extending spring break), issued 20200313 https://www.alaskapublic.org/2020/03/13/governor-says-all-k-12-students-in-alaska-to-attend-no-contact-school-until-march-30/ ...all public and private schools closed on 20200320 https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf, extended to end of the school year. Alaska Smart Start 2020 framework released on 20200520 and updated document on 20200727. Framework details how school districts can choose to reopen and provides guidance for those determined as low, medium and high risk environments https://education.alaska.gov/news/COVID-19/Alaska%20Smart%20Start%202020%20Framework%20Guidance.pdf.  Grants local districts the authority to determine whether to operate in-person, online, or a hybrid contingent on the school district's assessment of the risk level, ending the SchoolClose: https://education.alaska.gov/news/COVID-19/Alaska%20Smart%20Start%202020%20Framework%20Guidance.pdf",https://gov.alaska.gov/home/covid19-healthmandates/,20200818,Updated DateEnded and PolicyNotes
2,Alaska,OtherBusinessClose,1,1,,20200317,,20200424,20200522,,,"All libraries, archives, and museums to be closed March 17-31. Extensions and expansions, including one on 20200409, removed expiry date. 20200422 executive order began easing of restrictions conditional on meeting extensive health safety guidelines https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,20200524,Updated DateEnded to 20200522
2,Alaska,BarRestrict,1,1,,20200318,,20200508,20200522,,,"Limited operations required: bars and breweries trucks, self-service dining. Easing as part of Phase II on 20200508. https://covid19.alaska.gov/wp-content/uploads/2020/05/Phased-Reopen-Doc.pdf",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,20200708,
2,Alaska,RestaurantRestrict,1,1,,20200318,,20200424,20200522,,,"Limited operations required: restaurants, food trucks, self-service dining. Easing began on 20200424 https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,20200708,Removed bars from entry
2,Alaska,GathRestrict,1,1,,20200324,,20200424,,,,"Issued 20200323, in effect on 20200324. Eased on 20200424 with new mandate that bans gathering no more than 20.",https://gov.alaska.gov/home/covid19-healthmandates/,20200805,"Removed DateEnded, Added DateEased of 20200424"
2,Alaska,OtherBusinessClose,1,1,,20200324,,20200424,20200522,,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning. 20200409 update removed expiry of 20200421. Limited operations allowed starting 20200424 conditional on meeting health and safety mandates: https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf  Eased for indoor entertainment centers on 20200508 and for gyms and fitness centers on 20200507. ",https://gov.alaska.gov/home/covid19-healthmandates/,20200524,Updated DateEnded to 20200522
2,Alaska,Quarantine,1,1,,20200325,,,,,,Mandates 14 day quarantine for all people arriving in Alaska from anywhere else. A 20200424 health order extends this without any expiry https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf  A 20200601 health order extends it to 20200606 https://covid19.alaska.gov/wp-content/uploads/2020/06/06012020-COVID-MANDATE-010.pdf. The order is extended and amended on 20200811 https://covid19.alaska.gov/wp-content/uploads/2020/08/08062020-COVID-MANDATE-010-REVISED.pdf,https://gov.alaska.gov/home/covid19-healthmandates/,20200808,DateExpiry was not 20200606 so I deleted that.
2,Alaska,NEBusinessClose,1,1,,20200328,,20200424,20200522,,,In effect as of 5 pm on 20200328. The 20200424 order allows non-essential businesses to re-open to in-person services conditional on meeting health and safety mandates https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,https://content.govdelivery.com/accounts/AKDHSS/bulletins/283a713,20200524,Updated DateEnded to 20200522
2,Alaska,StayAtHome,1,1,,20200328,,,20200424,,,"In effect as of 5 pm on 20200328. The 20200424 order indicates the following (quote) Individuals are no longer required to stay home as previously required (quote), effectively ending the order. https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf",https://content.govdelivery.com/accounts/AKDHSS/bulletins/283a713,20200426,Removed DateExpiry as 20200409 update removed expiry. Added 20200424 as DateEnded as 20200424 order indicates individuals are no longer required to stay at home
2,Alaska,TravelRestrictIntra,1,1,,20200328,,20200424,,,,Travel between communities banned unless for critical personal or infastructure needs. A 20200409 update to health order removed initial expiry. The 20200424 order eased intra-state restrictions https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf ,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/,20200426,Removed DateExpiry as 20200409 update removed expiry. Added 20200424 as DateEased
2,Alaska,PublicMask,0,1,0,20200403,,,20200424,,,"Highly recommended for all Alaskans: wear a cloth face covering in public settings where other social distancing measures are difficult to maintain. On 20200424, strengthened phrasing, (quote) In all gatherings that include multiple households, cloth face coverings should be worn by all participants (quote): https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf",http://dhss.alaska.gov/dph/Epi/id/SiteAssets/Pages/HumanCoV/SOA_04032020_HealthAlert010_ClothFaceCoverings.pdf,20200426,
2,Alaska,PublicMask,1,1,1,20200424,,,20200522,,,"Requires patrons to wear cloth face coverings when at retail businesses, personal care services (except for being able to be removed for a short time during necessary services - otherwise, must be worn at all other times including when entering and exiting the shop). On pdf page 30 of the mandate, also includes the following under indoor gatherings: (quote) At gatherings including non-household members, cloth face coverings must be worn, when possible. (quote) Coding to a Mandate1 for PublicMaskLevel as it applies to very limited settings. Health Mandate 16 is no longer in effect as on 20200522 with Alaska going to Phase 3: https://gov.alaska.gov/newsroom/2020/05/19/governor-announces-phase-three-of-reopen-alaska-responsibly-plan/",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,20200721,Added DateEnded of 20200522
2,Alaska,CaseIsolation,1,1,,20200424,,,,,,"(quote) Any family member who is ill with COVID-19 must be immediately isolated in their home or permitted place of residence of isolation (quote). Details how people who exhibit symptoms of COVID-19 must not leave their dwelling within 72 hours of their last fever, and then individuals who have known exposure to indivduals who tested positive for COVID-19 shall self-quarantine for 14 days following the last exposure. Also refers to CDC guidelines https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fhcp%2Fguidance-prevent-spread.html",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,20200426,
2,Alaska,GathRestrict,1,1,,20200424,,20200508,,,,"No gathering larger than 20 people is allowed, which includes the minimum number of necessary personnel to facilitate the event, or 25 percent maximum occupancy (whichever is smaller). Gatherings including non-household members, cloth face coverings must be worn, whenver possible. Also applies to religious gatherings.",https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf,20200803,Updated entry to new gathering system and added numeric variables
2,Alaska,GathRestrict,1,1,,20200508,,,20200522,,,"Part II of recovery phase includes prohibition on gatherings of 50 or more. Ended 20200522, as as gathering limits became a recommendation https://covid19.alaska.gov/wp-content/uploads/2020/05/05192020-Alaskas-Plan-Forward-Final.pdf",https://covid19.alaska.gov/wp-content/uploads/2020/05/Phased-Reopen-Doc.pdf,20200805,"Removed DateEased and added DateEnded of 20200522, updated entry to new gathering system and added numeric variables"
4,Arizona,EmergDec,1,1,,20200311,,,,,,Emergency Declaration/Public Health Emergency,https://azgovernor.gov/sites/default/files/declaraton_0.pdf,20200324,
4,Arizona,SchoolClose,1,1,,20200316,,,20200817,,,"Public school closure. Statewide closure of all schools as of 20200320. Extended to the end of the academic year on 20200330 https://azgovernor.gov/governor/news/2020/03/governor-ducey-superintendent-hoffman-announce-extension-school-closures Extended through 20200817 https://azgovernor.gov/file/35148/download?token=jFLDklga Open for Learning plan announced on 20200723 which eases school closures on public and charters, but does not eliminate them completely (quote) all districts shall begin distance learning beginning August 17 (quote) https://azgovernor.gov/governor/news/2020/07/arizona-open-learning",https://azgovernor.gov/governor/news/2020/03/governor-doug-ducey-and-superintendent-kathy-hoffman-announce-closure-arizona,20200826,To confirm if this is an End
4,Arizona,BarRestrict,1,1,,20200331,,20200516,,20200629,20200827,"Via stay-at-home order, bar operations limited to delivery, takeout etc (conditional on proper licensing) for all counties. Easing began on 20200516 https://azgovernor.gov/file/34745/download?token=kz_fRE5B Required bars to close to on-site consumption (still can have delivery, takeout, drive-thru if properly licensed) on 20200629 https://azgovernor.gov/governor/news/2020/06/further-action-reverse-covid-19-spread-arizona Extended restrictions on 20200723 https://azgovernor.gov/sites/default/files/eo_2020-52_continuation_of_eo_2020-43.pdf On 20200827, counties that moved to yellow and green transmission levels could re-open at 50 pct capacity with additional mitigation requirements and restrictions: https://directorsblog.health.azdhs.gov/positive-news-for-az-counties-in-the-moderate-transmission-level-moving-into-next-phase-of-safely-reopening/","https://azgovernor.gov/executive-orders/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0_0%20(2).pdf
",20200901,"Added DateReeased1 of 20200827, updated PolicyCodingNotes"
4,Arizona,GathRestrict,1,1,,20200331,20200516,,20200516,,,First gathering restriction activated with stay-at-home order. Extended to 20200516 https://azgovernor.gov/file/34712/download?token=aWa7Jw6L. Ended on 20200516 https://azgovernor.gov/file/34817/download?token=9X8aggcf (shall maximize physical distance has now become should) Gatherings of more than 50 people are prohibited from 20200629 Extended gathering restrictions to limit gatherings to 50 people on 20200723 https://azgovernor.gov/sites/default/files/eo_2020-52_continuation_of_eo_2020-43.pdf,"https://azgovernor.gov/executive-orders/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0_0%20(2).pdf
",20200803,Deleted DateReexpanded1 based on new gathering row. 
4,Arizona,OtherBusinessClose,1,1,,20200331,,20200504,,20200629,20200827,"Via stay-at-home order, earlier business closures became applicable to all counties and additional ones occurred (i.e., in-person retail, close contact personal services). Easing began on 20200504, allowing retailers to have curbside pick up https://azgovernor.gov/file/34712/download?token=aWa7Jw6L . Further easing on 20200516 allowing businesses to reopen subject to guidelines: https://azgovernor.gov/file/34817/download?token=9X8aggcf Enhanced restrictions on 20200617 https://azgovernor.gov/sites/default/files/eo_2020-40.pdf Reintroduces business closures on 20200629 for gyms, indoor movie theaters, water parks https://azgovernor.gov/governor/news/2020/06/further-action-reverse-covid-19-spread-arizona Extended business closures on 20200723 https://azgovernor.gov/sites/default/files/eo_2020-52_continuation_of_eo_2020-43.pdf On 20200827, counties in yellow and green transmission levels can re-open gyms (25 pct for yellow, 50 pct capacity for green), movie theaters, tubing and water parks at 50 pct capacity and with additional mitigation requirements: https://directorsblog.health.azdhs.gov/positive-news-for-az-counties-in-the-moderate-transmission-level-moving-into-next-phase-of-safely-reopening/","https://azgovernor.gov/executive-orders/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0_0%20(2).pdf
",20200901,"Added DateReeased1 of 20200827, updated PolicyCodingNotes"
4,Arizona,RestaurantRestrict,1,1,,20200331,,20200511,,20200711,,"Via stay-at-home order, restaurant operations became limited to delivery, takeout etc for all counties. Easing began on 20200511 https://azgovernor.gov/file/34745/download?token=kz_fRE5B Enhanced guidance on 20200617, but not full re-expansion https://azgovernor.gov/sites/default/files/eo_2020-40.pdf On 20200711, re-introduces restrictions on restaurants, requiring those with indoor seating to operate a not more than 50 pct of capacity (previously no capacity limits, indoors or outdoors), physical distancing is adhered to (at least 6 ft between tables), closes all buffets, cafeteria style and self-service food bars. https://azgovernor.gov/sites/default/files/eo_2020-47.pdf","https://azgovernor.gov/executive-orders/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0_0%20(2).pdf
",20200710,Added DateReexpanded1 of 20200711
4,Arizona,StayAtHome,1,1,,20200331,20200516,,20200516,,,Extended stay-at-home to 20200516 https://azgovernor.gov/file/34712/download?token=aWa7Jw6L . StayAtHome ends on 20200516 https://azgovernor.gov/file/34817/download?token=9X8aggcf as only vulnerable individuals are now urged to stay at home,"https://azgovernor.gov/executive-orders/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0_0%20(2).pdf
",20200512,Updated DateEnded to 20200516
4,Arizona,Quarantine,1,1,,20200409,,,,,,"Quaranatine on any individuals entering Arizona from NY, NJ, CT as point of travel origin. Quarantine is 14 days long with exceptions for essential service providers",https://azgovernor.gov/sites/default/files/eo-2020-24.pdf,20200408,Added clarifying language in PolicyNotes regarding quarantine summary
4,Arizona,PublicMask,0,1,0,20200618,,,,,,"Indicates that any jurisdiction (county, city, town) may adopt policies regarding face coverings in public for the purpose of mitigating the spread of COVID-19. Considered a recommendation at present based on the EO and accompanying press release about increasing awareness about face-covering https://azgovernor.gov/governor/news/2020/06/governor-ducey-announces-enhanced-covid-19-action-plan",https://azgovernor.gov/sites/default/files/eo_2020-40.pdf,20200703,
4,Arizona,GathRestrict,1,1,,20200629,,,,,,Re-introduces gatherings restrictions and specifies a limit of 50 people. Extended to 20200810: https://azgovernor.gov/sites/default/files/eo_2020-52_continuation_of_eo_2020-43.pdf Extended beyond 20200810: https://azgovernor.gov/governor/news/2020/08/arizona-department-health-services-phased-reopening-plan-paused-industries,https://azgovernor.gov/file/35147/download?token=4zgksq5W,20200901,Removed DateExpiry
5,Arkansas,EmergDec,1,1,,20200311,20201015,,,,,Public Health Emergency. Extended on 20200505. Extended to 20201015 https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-45.pdf,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03.__1.pdf,20200818,Updated DateExpiry to 20201015 and PolicyCodingNotes
5,Arkansas,SchoolClose,1,1,,20200317,,,20200824,,,Initial closure in effect 20200317. On 20200406 order that all public schools to remain closed through remainder of academic year https://governor.arkansas.gov/news-media/press-releases/governor-hutchinson-announces-all-schools-to-remain-closed-for-remainder-of,http://adecm.arkansas.gov/ViewApprovedMemo.aspx?id=4328,20200812,Added DateEnded to 20200824
5,Arkansas,OtherBusinessClose,1,1,,20200317,,20200518,,,,"Directive to close casinos. On 20200404 extended with no expiry https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-13._.pdf, closure announced in May 7 presser of governor.",https://www.healthy.arkansas.gov/images/uploads/pdf/ADH_Casinos_Directive.pdf,20200606,Added DateEased of 20200518
5,Arkansas,BarRestrict,1,1,,20200319,,20200526,,,,Limited operations required: bars. Limited operations can begin on 20200526 https://www.healthy.arkansas.gov/images/uploads/pdf/directive_bars_and_clubs.pdf Further easing on 20200615 https://www.healthy.arkansas.gov/images/uploads/pdf/directive_bars_phase_II.pdf,https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf,20200708,
5,Arkansas,OtherBusinessClose,1,1,,20200319,,20200504,,,,"Closure required: gyms, indoor entertainment avenues. Gyms and fitness centers can re-open on 20200504, but only under very strict protocols and guidelines https://www.healthy.arkansas.gov/images/uploads/pdf/GymFitnessCenterResumeDraft4.29.20.pdf",https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf,20200501,Added DateEased of 20200504
5,Arkansas,RestaurantRestrict,1,1,,20200319,,20200511,,,,Limited operations required: restaurants. Limited operations can begin on 20200511 https://www.healthy.arkansas.gov/images/uploads/pdf/Resume_Restaurant_Dine_In_May_11_directive_FINAL.pdf  Up to 66 pct capacity starting on 20200615: https://www.healthy.arkansas.gov/images/uploads/pdf/directive__restaurant_dine-in_modified.pdf,https://www.healthy.arkansas.gov/images/uploads/pdf/Directive_03.19.2020_final.pdf,20200708,Removed bars from entry
5,Arkansas,OtherBusinessClose,1,1,,20200325,,20200506,,,,"Closure required: Barbers, Body Art Establishments, Body Art Schools, Cosmetology Establishments and Massage Therapy Clinics/Spas, and Medical Spas https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-25._._.pdf",https://www.healthy.arkansas.gov/images/uploads/pdf/Barber_Body_Art_Cosmetology_Massage_Therapy_Medical_Spas_Schools_FINAL.pdf,20200506,Added DateEased of 20200506
5,Arkansas,GathRestrict,1,1,,20200327,,20200618,,,,No expiry issued yet. Eased on 20200618 https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-37.pdf,https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-10._.pdf,20200803,Updated entry to new gathering system and added numeric variables
5,Arkansas,Quarantine,0,1,,20200330,,,20200508,,,"Travelers from New York, New Jersey, Connecticut, and New Orleans, Lousiana and all international locations are recommended to self-quarantine for 14 days. Ended on 20200615 https://www.healthy.arkansas.gov/images/uploads/pdf/directive_business_limitations_phase_II.pdf",https://www.healthy.arkansas.gov/images/uploads/pdf/NY-NJ-CT-NO-Intl_Self_Home_Quarantine.final.3.30.20.pdf,20200623,Added DateEnded of 20200615
5,Arkansas,PublicMask,0,1,0,20200423,,,,,,"Everyone should wear a face covering, or mask, in public. Recommendation issued by Department of Health. Recommendation extended and made more specific on 20200619. On 20200703, This EO allows local ordinances making masks mandatory in conjunction with discussion with the governors office..",https://www.healthy.arkansas.gov/images/uploads/pdf/Face_covering.pdf,20200623,Updated PolicyNotes re extension
5,Arkansas,Quarantine,1,1,,20200508,,,20200615,,,"(quote) A 14-day self-quarantine is required for travelers entering Arkansas who have visited an international location or an area of high community transmission in the United States in the previous 14 days. (quote) Policy ended on 20200615, no more quarantine requirement for travellers both domestic and international.",https://www.healthy.arkansas.gov/images/uploads/pdf/directive_business_limitations_phase_II.pdf,20200623,Updated DateEnded to 20200615 and updated policynotes to include when policy ended
5,Arkansas,GathRestrict,1,1,,20200618,,,,,,"Eased gathering restriction to no numerical value. All gatherings (no matter the number) should adhere to rules from the dept of health. All gatherings now subject to rules from Dept of Health, no numerical restriction in place. ",https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-37.pdf,20200805,Added StateWide and Mandate == 1 
6,California,EmergDec,1,1,,20200304,,,,,,State of Emergency proclamation. No clear epxiry provided.,https://www.gov.ca.gov/wp-content/uploads/2020/03/3.4.20-Coronavirus-SOE-Proclamation.pdf,20200324,
6,California,SchoolClose,0,1,,20200313,,20200717,,,,"Local school closures only (according to NGA). From KFF (quote) While the CA governor has not officially mandated the statewide closure of schools, the state's mandatory quarantine order effectively closes all schools. (quote) Not currently coding as school closure mandate since a separate mandate did not occur. On 20200331, superintendent announces that students will not be able to return for the rest of the academic year - distance learning will continue. On 20200717, governor announces state-level plan to guide reopening of districts. Eases advisory to maintain only distance learning. Relies on health safety guidelines that include mask rule in schools. https://www.gov.ca.gov/2020/07/17/governor-gavin-newsom-lays-out-pandemic-plan-for-learning-and-safe-schools/",https://www.gov.ca.gov/wp-content/uploads/2020/03/3.13.20-EO-N-26-20-Schools.pdf,20200822,Updated DateEased and PolicyCodingNotes
6,California,OtherBusinessClose,0,1,,20200316,,,,,,"(quote) Gyms, health clubs, and theaters should be closed (quote). Coded as a recommendation from the CDPH",https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/CDPHGuidanceforthePreventionofCOVID19TransmissionforGatherings.aspx,20200519,
6,California,RestaurantRestrict,0,1,,20200316,,,,,,"Limited operations recommended (drive-through, take-out, delivery): restaurants. No onsite consumption should not occur.",https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Coronavirus%20Disease%202019%20and%20Food%20Beverage%20Other%20Services%20-%20AOL.pdf,20200703,Updated PolicyCodingNotes to reflect restaurants only
